month,year,distance,elevation,PointsScale,UciScale,ParcoursType,ProfileScore,RaceRanking,StartlistQuality,Classification,Category,Duration
5,2024,173,1309,2.PRO.Stage,UCI.WR.Pro.Stage,2,22,128,161,2.Pro,ME - Men Elite,14747
5,2024,184,1548,2.PRO.Stage,UCI.WR.Pro.Stage,2,33,128,161,2.Pro,ME - Men Elite,15625
5,2024,165,1275,2.PRO.Stage,UCI.WR.Pro.Stage,1,8,128,161,2.Pro,ME - Men Elite,13358
5,2024,167,649,2.PRO.Stage,UCI.WR.Pro.Stage,1,5,128,161,2.Pro,ME - Men Elite,12922
5,2024,179,2677,2.PRO.Stage,UCI.WR.Pro.Stage,3,78,128,161,2.Pro,ME - Men Elite,15871
5,2024,177,468,2.PRO.Stage,UCI.WR.Pro.Stage,1,2,128,161,2.Pro,ME - Men Elite,13864
9,2024,110,1825,F-2.2.Stage,UCI.WE.2.Stage,2,93,70,261,2.2,WE - Women Elite,10792
9,2024,112,1768,F-2.2.Stage,UCI.WE.2.Stage,2,80,70,261,2.2,WE - Women Elite,11280
6,2024,114,3403,F-1.1,UCI.WE.1,5,304,69,230,1.1,WE - Women Elite,14010
5,2024,128,846,2.2.Stage,UCI.WR.2.Stage,1,22,296,12,2.2,ME - Men Elite,9422
5,2024,143,2016,2.2.Stage,UCI.WR.2.Stage,2,121,296,12,2.2,ME - Men Elite,12085
5,2024,154,1868,2.2.Stage,UCI.WR.2.Stage,2,76,296,12,2.2,ME - Men Elite,12896
5,2024,149,1802,2.2.Stage,UCI.WR.2.Stage,2,64,296,12,2.2,ME - Men Elite,12344
5,2024,171,3954,2.2.Stage,UCI.WR.2.Stage,4,281,296,12,2.2,ME - Men Elite,16325
1,2024,149,686,2.1.Stage,UCI.WR.1.Stage,1,4,82,270,2.1,ME - Men Elite,11935
1,2024,199,1359,2.1.Stage,UCI.WR.1.Stage,3,25,82,270,2.1,ME - Men Elite,16924
2,2024,171,953,2.1.Stage,UCI.WR.1.Stage,1,5,82,270,2.1,ME - Men Elite,14392
2,2024,142,1023,2.1.Stage,UCI.WR.1.Stage,3,22,82,270,2.1,ME - Men Elite,11503
2,2024,150,1330,2.1.Stage,UCI.WR.1.Stage,2,107,82,270,2.1,ME - Men Elite,12277
1,2025,143,914,2.1.Stage,UCI.WR.1.Stage,2,16,93,232,2.1,ME - Men Elite,11421
1,2025,131,1869,2.1.Stage,UCI.WR.1.Stage,3,134,93,232,2.1,ME - Men Elite,11895
1,2025,181,974,2.1.Stage,UCI.WR.1.Stage,2,6,93,232,2.1,ME - Men Elite,15383
1,2025,141,1254,2.1.Stage,UCI.WR.1.Stage,2,97,93,232,2.1,ME - Men Elite,11386
2,2025,170,896,2.1.Stage,UCI.WR.1.Stage,2,7,93,232,2.1,ME - Men Elite,12720
4,2024,254,3290,1.WT.B,UCI.WR.C1,2,110,12,884,1.UWT,ME - Men Elite,21497
4,2024,101,1244,F-1.WWT,UCI.WE.WWT,2,63,8,1225,1.WWT,WE - Women Elite,9302
5,2024,178,183,1.1,UCI.WR.1,1,0,119,182,1.1,ME - Men Elite,14505
5,2024,140,136,F-1.1,UCI.WE.1,1,0,74,216,1.1,WE - Women Elite,12964
8,2024,155,2537,2.PRO.Stage,UCI.WR.Pro.Stage,2,165,116,188,2.Pro,ME - Men Elite,13412
8,2024,178,2871,2.PRO.Stage,UCI.WR.Pro.Stage,2,132,116,188,2.Pro,ME - Men Elite,14738
8,2024,156,2715,2.PRO.Stage,UCI.WR.Pro.Stage,3,167,116,188,2.Pro,ME - Men Elite,13915
8,2024,157,1880,2.PRO.Stage,UCI.WR.Pro.Stage,3,74,116,188,2.Pro,ME - Men Elite,11941
7,2024,138,227,F-1.1,UCI.WE.1,1,1,93,147,1.1,WE - Women Elite,11588
4,2024,151,131,1.2,UCI.WR.2,1,0,308,11,1.2,ME - Men Elite,9956
6,2024,12,136,2.PRO.Stage,UCI.WR.Pro.Stage,1,2,42,442,2.Pro,ME - Men Elite,804
6,2024,184,467,2.PRO.Stage,UCI.WR.Pro.Stage,1,2,42,442,2.Pro,ME - Men Elite,14362
6,2024,188,752,2.PRO.Stage,UCI.WR.Pro.Stage,2,13,42,442,2.Pro,ME - Men Elite,14780
6,2024,177,2749,2.PRO.Stage,UCI.WR.Pro.Stage,3,140,42,442,2.Pro,ME - Men Elite,15266
6,2024,186,1114,2.PRO.Stage,UCI.WR.Pro.Stage,1,8,42,442,2.Pro,ME - Men Elite,13911
7,2024,114,102,F-2.1.Stage,UCI.WE.1.Stage,1,0,51,381,2.1,WE - Women Elite,9801
7,2024,127,435,F-2.1.Stage,UCI.WE.1.Stage,1,3,51,381,2.1,WE - Women Elite,10973
7,2024,66,617,F-2.1.Stage,UCI.WE.1.Stage,1,11,51,381,2.1,WE - Women Elite,5332
